Codigo del ambito,Ambito,Codigo de Area(ISO3),Area,Codigo del elemento,Elemento,Codigo del producto,Producto,Codigo del year,Year,Unidad,Valor,Simbolo,Descripcion del Simbolo
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2021"",""2021"",""1000 ha"",""209.61"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2020"",""2020"",""1000 ha"",""3555.7"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2021"",""2021"",""1000 ha"",""4097.77"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2020"",""2020"",""1000 ha"",""30879.71"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2021"",""2021"",""1000 ha"",""31732.5"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2020"",""2020"",""1000 ha"",""43791.91"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2021"",""2021"",""1000 ha"",""46351.51"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AGO"",""Angola"",""5013"",""Area from WorldCover"",""6975"",""Manglares"",""2020"",""2020"",""1000 ha"",""22.72"",""E"",""Valor estimado"""
